,name,pincode,cuisine,dietaryRestrictions,dishes,features,latitude,longitude,mealType,numberOfReviews,rankingDenominator,rankingPosition,rating,rawRanking,cuisine_category
0,"Absolute Barbecues - Marathahalli, Bengaluru",560037,Indian Barbecue Asian      ,Vegetarian Friendly Vegan Options Halal Gluten Free Options,Noodle Pasta Cheesecake Crab Salad Curry Quail Prawns Octopus Duck Lamb Pesto Cakes Fish Paneer         ,Reservations Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Accepts Credit Cards Table Service Live Music                  ,12.949864,77.69931,Lunch Dinner    ,816,5993.0,82.0,4.5,4.194001198,Indian
1,Cuppa Redefined - HSR,560102,American Cafe       ,Vegetarian Friendly Vegan Options  ,Burger                       ,Delivery Takeout Reservations Seating Digital Payments Accepts Credit Cards Table Service Live Music                     ,13.007294,77.570076,Breakfast Lunch Dinner Brunch Late Night ,25,5993.0,231.0,5.0,3.492630959,American
2,Bharjari Oota,560004,Indian        ,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Table Service                          ,12.94486,77.57205,Breakfast Lunch Dinner   ,21,5993.0,755.0,4.0,3.153523922,Indian
3,The Big Barbeque,560100,Italian Chinese Indian Mediterranean Barbecue Asian   ,Vegetarian Friendly   ,Pasta Crab Salad Chili Curry Prawns Octopus Duck Pesto Fish Paneer             ,Reservations Seating Table Service                          ,12.948556,77.69852,Lunch Dinner    ,45,5993.0,222.0,4.5,3.511242151,Indian
4,Savoury Restaurant,560005,Indian Asian Middle Eastern Arabic     ,Vegetarian Friendly Halal  ,Juice & Smoothies Fish Roti                     ,Delivery Takeout Reservations Buffet Private Dining Seating Parking Available Street Parking Valet Parking Free off-street parking Wheelchair Accessible Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service             ,12.999533,77.61585,Breakfast Lunch Dinner Brunch  ,122,5993.0,253.0,4.0,3.455582619,Indian
5,"Rajdhani Thali Restaurant, Bannerghatta Road, Bangalore",,Indian        ,Vegetarian Friendly Vegan Options  ,Thali Roti                      ,Takeout Reservations Seating Table Service                         ,12.85898,77.56951,Lunch Dinner    ,78,6520.0,350.0,4.0,3.352989435,Indian
6,The Black Rabbit,560038,Bar European Pub      ,Vegetarian Friendly Vegan Options  ,Burger Salad Wings Lamb Fish Pork                  ,Reservations Outdoor Seating Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Table Service                     ,12.89501,77.58188,Lunch Dinner Brunch   ,202,5993.0,205.0,4.0,3.578366518,European
7,Blr Brewing Co. - Electronic City,560100,Italian Indian Brew Pub Bar Barbecue Asian Pub  ,Vegan Options   ,                       ,Delivery Takeout Reservations Outdoor Seating Seating Parking Available Television Serves Alcohol Full Bar Wine and Beer Digital Payments Free Wifi Accepts Credit Cards Table Service Live Music Dog Friendly Family style Sports bars           ,12.840307,77.65356,Lunch Dinner Brunch Drinks  ,24,5993.0,356.0,4.5,3.331095695,Indian
8,Chinita Real Mexican Food,560038,Mexican        ,Vegetarian Friendly Vegan Options Gluten Free Options ,Burrito Salad Tacos Chili Nachos Burrito Bowl Beef Pork Enchiladas               ,Delivery Takeout Reservations Seating Accepts Credit Cards Table Service                       ,12.980944,77.637215,Lunch Dinner Brunch   ,109,5993.0,202.0,4.5,3.589483976,Mexican
9,Bheema's,560001,Indian        ,Vegetarian Friendly Vegan Options  ,Chilli Chicken Chili Curry Thali                    ,Delivery Takeout Reservations Seating Table Service                        ,12.975288,77.60364,Lunch Dinner Late Night   ,162,5993.0,186.0,4.0,3.621510506,Indian
10,Iron Hill Bengaluru,,Brew Pub Pub Dining bars      ,   ,                       ,Reservations                            ,12.952731,77.69819,     ,9,5993.0,596.0,4.5,3.203747272,Pub
11,Cafe Noir,560001,French Cafe European      ,Vegetarian Friendly Vegan Options Gluten Free Options ,Juice & Smoothies Sandwiches Pasta Baguette Fish & Chips Burger Salad Crepes Macarons Quiche Macaroons Salmon Toasts Beef Creme Brulee Lamb Pesto Cakes Fish Ratatouille    ,Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Table Service                       ,12.971997,77.59595,Breakfast Lunch Dinner Brunch Late Night ,314,5993.0,179.0,4.0,3.64640379,European
12,Melange,560037,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Ice Cream Juice & Smoothies Pasta Salad Chili Curry Prawns Pesto Cakes Fish              ,Reservations Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Table Service                    ,12.950342,77.69829,Breakfast Lunch Dinner Brunch Drinks ,264,5993.0,39.0,4.5,4.728266239,Indian
13,The Merak Brewhouse,560001,        ,   ,                       ,Reservations Outdoor Seating Private Dining Seating Parking Available Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Free Wifi Accepts Credit Cards Table Service Live Music Waterfront             ,12.97118,77.59769,Lunch Dinner Late Night Drinks  ,44,5993.0,136.0,5.0,3.797733784,Generic
14,Social Whitefield,560048,Bar Asian Pub      ,   ,Burger Wings Chili                     ,Reservations Seating Serves Alcohol Full Bar Table Service                        ,12.997407,77.696335,Lunch Dinner Brunch   ,118,5993.0,486.0,3.5,3.245129824,Asian
15,Food Street / Thindi Bheedi,560004,Indian Fast Food Healthy      ,Vegetarian Friendly Vegan Options  ,Juice & Smoothies Noodle Salad Cakes Roti Pav Bhaji                  ,Takeout Street Parking Digital Payments Cash Only Drive Thru Family style                       ,12.951469,77.57745,Dinner Late Night    ,220,5993.0,173.0,4.0,3.66583395,Indian
16,Ebony Restaurant,560001,Indian Asian       ,Vegetarian Friendly Vegan Options Gluten Free Options ,Salad Chili Curry Beef Fish Paneer Roti                 ,Takeout Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service             ,12.975222,77.60513,Lunch Dinner    ,340,5993.0,155.0,4.0,3.716874361,Indian
